TIPO ;SITUAÇÃO;Cód.Equipamento;Cod. Material;Descrição;OC;Qtde. Solicitada;Qtde. Pendente;Qtde. Entregue;Data da Solicitação;Data O.C.;Dias p/ entrega;Status entrega;Data p/ entrega;Dias para OC ser gerada;Nr. Solicitação;Nr. Requisição;Nr. O.C.;Cód. Obj Custo;Descrição Obj. Custo;Valor Última Compra;Cod. Fornecedor;Fornecedor;Cidade;Estado;Status;Índice;Status no Almoxarifado;Ref.1;N_SOLIC;N_OC;Teste;Dias s/ O.C.;Mês
Estoque;;Estoque;92;92 - PNEU 215/75R 17.5 RHS;Tem OC;4;4;;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408187;;170489;221;Almoxarifados - Estoque geral;R$ 1.073,89;3532;HC PNEUS SA         ;João Pessoa;PB;Pendente;;Entrega pendente;1;1;0,166666667;0;;junho
Veic. Leves;;33;789;789 - GUIDON NXR BROS 150 KS;Tem OC;1;0;1;28/03/2025;10/04/2025;;;;13;397420;1139982;166131;719;Automóveis e utilitários - Adm. Agricola;R$ 19,47;14446;AGROMOTO;Jaboatão dos Guararapes;PE;Pedido entregue!;;Aguardando retirada;1;1;1;0;0;março
Carregadeiras;;3027;842;842 - CLIMATIZADOR 12V TACOR-AR PARA CABINA DA CARREGADEIRA SANTAL;Tem OC;1;0;1;06/06/2025;27/06/2025;0  DC;Atrasado;27/06/2025;21;406371;;169723;221;Almoxarifados - Estoque geral;R$ 849,00;11198;4E EQUIPAMENTOS;Goiânia;GO;Pedido entregue!;;Aguardando retirada;1;1;1;0;;junho
Máquinas pesadas;;4008;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;2;0;2;16/05/2025;20/05/2025;;;;4;403151;;167936;;;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Carregadeiras;;3015;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;16/05/2025;20/05/2025;;;;4;403157;;167936;;;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Máquinas pesadas;;4011;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;2;0;2;16/05/2025;20/05/2025;;;;4;403158;;167936;;;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Carregadeiras;;3029;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;20/05/2025;23/05/2025;;;;3;403761;;168031;221;Almoxarifados - Estoque geral;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,2;0;;maio
Carregadeiras;;3014;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;20/05/2025;23/05/2025;;;;3;403766;;168031;221;Almoxarifados - Estoque geral;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,2;0;;maio
Carregadeiras;;3023;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;20/05/2025;23/05/2025;;;;3;403767;;168031;221;Almoxarifados - Estoque geral;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,2;0;;maio
Carregadeiras;;3024;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;02/07/2025;04/07/2025;1  UT;Atrasado;05/07/2025;2;409792;;170453;221;Almoxarifados - Estoque geral;R$ 445,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;julho
Colhedoras;;Estoque - Colhedoras;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;10;0;10;02/07/2025;04/07/2025;1  UT;Atrasado;05/07/2025;2;409793;;170453;221;Almoxarifados - Estoque geral;R$ 445,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;julho
Caminhões;;1052;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Apenas Solicitação;2;0;2;04/04/2025;;;;;Aguardando OC;398065;1141937;0;684;Caminhões Bombeiro;R$ 589,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0;1;#REF!;abril
Caminhões;;1103;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Apenas Solicitação;1;0;1;10/04/2025;;;;;Aguardando OC;398794;1143553;0;225;Expedição e Faturamento;R$ 589,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0;1;#REF!;abril
Caminhões;;1039;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Apenas Solicitação;2;0;2;10/04/2025;;;;;Aguardando OC;398795;1143557;0;689;Caminhões Colheita;R$ 589,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0;1;#REF!;abril
Caminhões;;1020;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;2;0;2;28/04/2025;07/05/2025;;;;9;400722;;167269;221;Almoxarifados - Estoque geral;R$ 619,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;1;0;;abril
Caminhões;;1009;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;03/05/2025;09/05/2025;;;;6;401238;;167325;221;Almoxarifados - Estoque geral;R$ 619,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;1;Retirado do Almoxarifado;1;1;1;0;0;maio
Caminhões;;1045;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;2;0;2;03/05/2025;09/05/2025;;;;6;401240;;167327;221;Almoxarifados - Estoque geral;R$ 619,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;1;Retirado do Almoxarifado;1;1;1;0;0;maio
Carregadeiras;;3022;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;14/05/2025;16/05/2025;;;;2;402864;;167847;;;R$ 619,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Tratores;;2030;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;14/05/2025;16/05/2025;;;;2;402865;;167847;;;R$ 619,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Tratores;;2036;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;14/05/2025;16/05/2025;;;;2;402866;;167847;;;R$ 619,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Carregadeiras;;3027;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;20/05/2025;21/05/2025;;;;1;403763;;168031;221;Almoxarifados - Estoque geral;R$ 619,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,2;0;;maio
Caminhões;;1025;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;2;0;2;21/05/2025;23/05/2025;;;;2;403834;;168031;221;Almoxarifados - Estoque geral;R$ 619,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,2;0;;maio
Caminhões;;1015;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;28/05/2025;29/05/2025;;;;1;405046;;168384;221;Almoxarifados - Estoque geral;R$ 1.022,19;;;;;Pedido entregue!;;Aguardando retirada;1;1;1;0;;maio
Tratores;;2042;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;11/06/2025;13/06/2025;;;;2;406999;;169083;221;Almoxarifados - Estoque geral;R$ 619,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;1;0;;junho
Tratores;;2052;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;23/06/2025;02/07/2025;1  UT;Atrasado;03/07/2025;9;408820;;170226;221;Almoxarifados - Estoque geral;R$ 619,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;;Aguardando retirada;1;1;0,5;0;;junho
Tratores;;2048;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;23/06/2025;02/07/2025;1  UT;Atrasado;03/07/2025;9;408822;;170226;221;Almoxarifados - Estoque geral;R$ 619,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;;Aguardando retirada;1;1;0,5;0;;junho
Tratores;;Estoque - Tratores;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;2;0;2;02/07/2025;04/07/2025;1  UT;Atrasado;05/07/2025;2;409785;;170453;221;Almoxarifados - Estoque geral;R$ 619,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;julho
Tratores;;2037;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Tem OC;1;0;1;02/07/2025;04/07/2025;1  UT;Atrasado;05/07/2025;2;409799;;170453;221;Almoxarifados - Estoque geral;R$ 619,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;julho
Caminhões;;1022;1004;1004 - BATERIA 150 AMPERES - 38B ZETA;Apenas Solicitação;2;2;;03/07/2025;;;;;Aguardando OC;410113;;;221;;R$ 619,00;;;;;Pendente;;Entrega pendente;;#DIV/0!;0;1;;julho
Estoque;;Estoque;1033;1033 - PNEU 18.4-26;Tem OC;6;0;6;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408211;;170463;221;Almoxarifados - Estoque geral;4147,81;3532;HC PNEUS SA         ;João Pessoa;PB;Pedido entregue!;;Aguardando retirada;1;1;0,076923077;0;;junho
Estoque;;Estoque;1048;1048 - PNEU 18.4-34 (12 LONAS);Tem OC;6;6;;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408196;;170463;221;Almoxarifados - Estoque geral;5595,9;3532;HC PNEUS SA         ;João Pessoa;PB;Pendente;;Entrega pendente;1;1;0,076923077;0;;junho
Estoque;;Estoque;1052;1052 - PNEU 750 X 16 G8 ( F-4000);Tem OC;4;4;;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408191;;170489;221;Almoxarifados - Estoque geral;R$ 703,00;3532;HC PNEUS SA         ;João Pessoa;PB;Pendente;;Entrega pendente;1;1;0,166666667;0;;junho
Reboques;;Estoque - Reboques;1181;1181 - TINTA VERDE FOLHA 3,6L;Apenas Solicitação;14;0;14;14/05/2025;;;;;Aguardando OC;402777;;0;;;R$ 52,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0;1;#REF!;maio
Lubrificação;;Lubrificação;1286;1286 - BICO HIDRAULICO P/ BOMBA - LUBEFER;Apenas Solicitação;50;50;;11/07/2025;;;;;Aguardando OC;411291;;0;221;Almoxarifados - Estoque geral;19;;;;;Pendente;;Entrega pendente;1;1;0;1;;julho
Lubrificação;;Lubrificação;1588;1588 - OLEO LUBRAX TRM 5 SAE 140;Tem OC;600;0;600;09/06/2025;16/06/2025;0  DC;Atrasado;16/06/2025;7;406604;;169071;221;Almoxarifados - Estoque geral;R$ 16,05;15703;RAIZEN LUBRIFICANTES;Cabo de Santo Agostinho;PE;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;junho
Lubrificação;;Lubrificação;1589;1589 - OLEO HIDRAULICO LUBRAX HYDRA XP 68;Tem OC;600;0;600;09/06/2025;16/06/2025;0  DC;Atrasado;16/06/2025;7;406603;;169071;221;Almoxarifados - Estoque geral;R$ 11,60;15703;RAIZEN LUBRIFICANTES;Cabo de Santo Agostinho;PE;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;junho
Estoque;;Estoque;1591;1591 - OLEO LUBRAX TRM5 - 90;Tem OC;1045;1045;;09/07/2025;12/07/2025;0  DC;Atrasado;12/07/2025;3;411003;;170870;221;Almoxarifados - Estoque geral;14,83399522;15885;RAIZEN LUBRIFICANTES ;Cabo de Santo Agostinho;PE;Pendente;;Entrega pendente;1;1;0,333333333;0;;julho
Lubrificação;;Lubrificação;1591;1591 - OLEO LUBRAX TRM5 - 90;Tem OC;400;0;400;09/06/2025;16/06/2025;0  DC;Atrasado;16/06/2025;7;406602;;169071;221;Almoxarifados - Estoque geral;R$ 15,42;15703;RAIZEN LUBRIFICANTES;Cabo de Santo Agostinho;PE;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;junho
Estoque;;Estoque;1634;1634 - PNEU 18.4-30 DE 10 LONAS;Tem OC;2;2;;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408197;;170463;221;Almoxarifados - Estoque geral;R$ 4.570,37;3532;HC PNEUS SA         ;João Pessoa;PB;Pendente;;Entrega pendente;1;1;0,076923077;0;;junho
Lubrificação;;Lubrificação;1651;1651 - GRAXEIRO RETO DE 3/8;Apenas Solicitação;200;200;;11/07/2025;;;;;Aguardando OC;411286;;0;221;Almoxarifados - Estoque geral;0,6093;;;;;Pendente;;Entrega pendente;1;1;0;1;;julho
Lubrificação;;Lubrificação;1800;"1800 - GRAXEIRO RETO DE 1/4""";Apenas Solicitação;200;200;;11/07/2025;;;;;Aguardando OC;411288;;0;221;Almoxarifados - Estoque geral;0,48;;;;;Pendente;;Entrega pendente;1;1;0;1;;julho
Estoque;;Estoque;1842;1842 - OLEO  HY GARD TRANSMISSAO;Tem OC;627;627;;09/07/2025;12/07/2025;0  DC;Atrasado;12/07/2025;3;411000;;170870;221;Almoxarifados - Estoque geral;26,73338756;15885;RAIZEN LUBRIFICANTES ;Cabo de Santo Agostinho;PE;Pendente;;Entrega pendente;1;1;0,333333333;0;;julho
Estoque;;Estoque;1842;1842 - OLEO  HY GARD TRANSMISSAO;Apenas Solicitação;1045;1045;;04/07/2025;;;;;Aguardando OC;410262;;;221;;R$ 26,73;;;;;Pendente;;Entrega pendente;;#DIV/0!;0;1;;julho
Estoque;;Estoque;1852;1852 - PNEU 17.5-25;Tem OC;2;2;;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408206;;170463;221;Almoxarifados - Estoque geral;R$ 5.179,00;3532;HC PNEUS SA         ;João Pessoa;PB;Pendente;;Entrega pendente;1;1;0,076923077;0;;junho
Estoque;;Estoque;1986;1986 - PNEU 24.5-32;Tem OC;4;4;;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408195;;170463;221;Almoxarifados - Estoque geral;R$ 7.333,97;3532;HC PNEUS SA         ;João Pessoa;PB;Pendente;;Entrega pendente;1;1;0,076923077;0;;junho
Tratores;;2025;2107;2107 - SENSOR DE TEMPERATURA  RE 51774;Apenas Solicitação;1;1;;18/07/2025;;;;;Aguardando OC;412245;;0;221;Almoxarifados - Estoque geral;163,85;;;;;Pendente;;Entrega pendente;1;1;0;1;;julho
Tratores;;2027;2107;2107 - SENSOR DE TEMPERATURA  RE 51774;Apenas Solicitação;1;1;;18/07/2025;;;;;Aguardando OC;412246;;0;221;Almoxarifados - Estoque geral;163,85;;;;;Pendente;;Entrega pendente;1;1;0;1;;julho
Caminhões;;1094;2210;2210 - CONTRA BARRA DIRECAO REF. SKF VKY 6211 M. BENZ 1620;Apenas Solicitação;1;1;;18/07/2025;;;;;Aguardando OC;412223;;0;221;Almoxarifados - Estoque geral;487,76;;;;;Pendente;;Entrega pendente;1;1;0;1;;julho
Lubrificação;;Lubrificação;2221;2221 - GRAXEIRO CURVO 3/8 45°;Apenas Solicitação;200;200;;11/07/2025;;;;;Aguardando OC;411289;;0;221;Almoxarifados - Estoque geral;1,16;;;;;Pendente;;Entrega pendente;1;1;0;1;;julho
Lubrificação;;Lubrificação;2222;2222 - GRAXEIRO CURVO 5/16 45°;Apenas Solicitação;200;200;;11/07/2025;;;;;Aguardando OC;411287;;0;221;Almoxarifados - Estoque geral;1,4;;;;;Pendente;;Entrega pendente;1;1;0;1;;julho
Carregadeiras;;Estoque - Carregadeiras;2310;2310 - DISCO DE FREIO VALTRA REF:30184800;Tem OC;26;0;26;21/04/2025;07/05/2025;;;;16;399995;;167236;221;Almoxarifados - Estoque geral;R$ 1.508,00;15702;MAQTRAL - PB;Bayeux;PB;Pedido entregue!;;Aguardando retirada;1;1;1;0;0;abril
Estoque;;Estoque;2463;2463 - OLEO LUBRAX UNITRACTOR 10W30 (ISAFLUIDO 434 TO);Tem OC;200;200;;09/07/2025;16/07/2025;7  DC;Atrasado;23/07/2025;7;411004;;171072;221;Almoxarifados - Estoque geral;14,2501;10802;PETRONAS LUBRIFICANTES;Jaboatão dos Guararapes;PE;Pendente;;Entrega pendente;1;1;1;0;;julho
Estoque;;Estoque;2495;2495 - PNEU 1000R 20 G - 686 MSS;Tem OC;8;0;8;18/06/2025;05/07/2025;1  DC;Atrasado;06/07/2025;17;408188;;170462;221;Almoxarifados - Estoque geral;R$ 2.482,32;6221;REGIA PNEUS;João Pessoa;PB;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;junho
Reboques;;8034;2590;2590 - MORSA DE BANCADA Nº 8;Tem OC;1;0;1;07/07/2025;12/07/2025;2  DC;Atrasado;14/07/2025;5;410377;;170836;221;Almoxarifados - Estoque geral;360;3733;MF                  ;Campina Grande;PB;Pedido entregue!;;Aguardando retirada;1;1;1;0;;julho
Tratores;;2036;3109;3109 - ASSENTO DE BORRACHA 81214810 (VALTRA);Tem OC;20;0;20;13/03/2025;20/03/2025;;;;7;395897;1136371;165334;692;Tratores Preparo Solo;R$ 7,40;13341;DISMA DISTRIBUIDORA;Araçatuba;SP;Pedido entregue!;1;Retirado do Almoxarifado;1;1;0,047619048;0;0;março
Carregadeiras;;3020;3109;3109 - ASSENTO DE BORRACHA 81214810 (VALTRA);Tem OC;20;0;20;15/04/2025;29/04/2025;;;;14;399581;;166903;221;Almoxarifados - Estoque geral;R$ 2,24;13341;DISMA DISTRIBUIDORA;Araçatuba;SP;Pedido entregue!;1;Retirado do Almoxarifado;1;1;0,333333333;0;;abril
Tratores;;Estoque - Tratores;3109;3109 - ASSENTO DE BORRACHA 81214810 (VALTRA);Tem OC;30;0;30;19/05/2025;26/05/2025;1  DC;Atrasado;27/05/2025;7;403582;;168155;221;Almoxarifados - Estoque geral;R$ 70,20;13341;DISMA DISTRIBUIDORA;Araçatuba;SP;Pedido entregue!;;Aguardando retirada;1;1;0,5;0;;maio
Tratores;;2037;3109;3109 - ASSENTO DE BORRACHA 81214810 (VALTRA);Tem OC;8;0;8;26/05/2025;28/05/2025;1  DC;Atrasado;29/05/2025;2;404508;;168299;221;Almoxarifados - Estoque geral;R$ 18,16;13341;DISMA DISTRIBUIDORA;Araçatuba;SP;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;;maio
Carregadeiras;;Estoque - Carregadeiras;3302;3302 - PINO 80390200;Tem OC;20;0;20;15/04/2025;07/05/2025;;;;22;399583;;167230;221;Almoxarifados - Estoque geral;R$ 6,30;13341;DISMA DISTRIBUIDORA;Araçatuba;SP;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;0;abril
Oficina Geral;;Oficina Diversos;3493;3493 - BROCA EM AÇO 11/32;Tem OC;2;0;2;17/06/2025;27/06/2025;0  DC;Atrasado;27/06/2025;10;408117;;169734;221;Almoxarifados - Estoque geral;R$ 68,00;4020;CARFEL              ;João Pessoa;PB;Pedido entregue!;;Aguardando retirada;;#DIV/0!;#DIV/0!;0;;junho
Reboques;;Estoque - Reboques ;3662;3662 - CABO DE ACO 5/8 (USADO);Tem OC;500;0;500;15/05/2025;23/05/2025;0  DC;Atrasado;23/05/2025;8;403088;;168026;221;Almoxarifados - Estoque geral;R$ 2.816,92;6461;TOTALFIX;Recife;PE;Pedido entregue!;;Aguardando retirada;1;1;1;0;;maio
Reboques;;8558;3662;3662 - CABO DE ACO 5/8 (USADO);Tem OC;500;0;500;27/06/2025;04/07/2025;0  DC;Atrasado;04/07/2025;7;409208;;170430;221;Almoxarifados - Estoque geral;R$ 18,50;6461;TOTALFIX;Recife;PE;Pedido entregue!;;Aguardando retirada;1;1;1;0;;junho
Caminhões;;1020;3862;3862 - CABO E PUXADOR DO CAPO REF: 3848808259 ( MBB 2318 );Tem OC;2;2;;14/07/2025;19/07/2025;1  DC;Atrasado;20/07/2025;5;411601;;171161;221;Almoxarifados - Estoque geral;47,52;2097;CAUPECAS            ;Recife;PE;Pendente;;Entrega pendente;1;1;0,111111111;0;;julho
Caminhões;;1023;3862;3862 - CABO E PUXADOR DO CAPO LE REF: 3848808259 OU FANIA 060.320.0000 ( MBB 2318 );Tem OC;2;0;2;13/06/2025;23/06/2025;0  DC;Atrasado;23/06/2025;10;407589;;169646;221;Almoxarifados - Estoque geral;R$ 35,17;2097;CAUPECAS            ;Recife;PE;Pedido entregue!;;Aguardando retirada;1;1;0,125;0;;junho
Caminhões;;1008;3904;3904 - AMORTECEDOR DIANTEIRO (MB2726) REF: A6933237000;Tem OC;2;0;2;09/05/2025;12/05/2025;;;;3;402113;;167486;221;Almoxarifados - Estoque geral;R$ 500,80;;;;;Pedido entregue!;1;Retirado do Almoxarifado;1;1;1;0;0;maio
Oficina Geral;;Oficina Diversos;4134;4134 - CHAVE FREZADA 6X7;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408652;;0;221;Almoxarifados - Estoque geral;14;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4142;4142 - CHAVE FREZADA 8X9;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408653;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4143;4143 - CHAVE FREZADA 10 X 11;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408654;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4146;4146 - CHAVE FREZADA 12 X 13;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408655;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4147;4147 - CHAVE FREZADA 14 X 15;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408656;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4148;4148 - CHAVE FREZADA 16 X 17;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408657;;0;221;Almoxarifados - Estoque geral;27,5;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4151;4151 - CHAVE FREZADA 18 X 19;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408658;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4152;4152 - CHAVE FREZADA 20 X 22;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408661;;0;221;Almoxarifados - Estoque geral;53,4;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4153;4153 - CHAVE FREZADA 21 X 23;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408662;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4154;4154 - CHAVE FREZADA 24 X 26;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408663;;0;221;Almoxarifados - Estoque geral;49;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4156;4156 - CHAVE FREZADA 25 X 28;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408664;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4159;4159 - CHAVE FREZADA 27 X 32;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408665;;0;221;Almoxarifados - Estoque geral;79;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4186;4186 - CHAVE DE BOCA 6 X 7;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408667;;0;221;Almoxarifados - Estoque geral;9;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4187;4187 - CHAVE DE BOCA 8 X 9;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408668;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4189;4189 - CHAVE DE BOCA 10 X 11;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408669;;0;221;Almoxarifados - Estoque geral;12,5;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4190;4190 - CHAVE DE BOCA 12 X 13;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408670;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4191;4191 - CHAVE DE BOCA 14 X 15;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408671;;0;221;Almoxarifados - Estoque geral;16,5;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4199;4199 - CHAVE DE BOCA 16 X 17;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408672;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4200;4200 - CHAVE DE BOCA 18 X 19;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408673;;0;221;Almoxarifados - Estoque geral;22,5;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4202;4202 - CHAVE DE BOCA 20 X 22;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408674;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4204;4204 - CHAVE DE BOCA 21 X 23;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408675;;0;221;Almoxarifados - Estoque geral;21,5;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina diversos;4208;4208 - CHAVE DE BOCA 25 X 28;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408678;;0;221;Almoxarifados - Estoque geral;R$ 0,00;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4211;4211 - CHAVE DE BOCA 27 X 32;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408677;;0;221;Almoxarifados - Estoque geral;48,17;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Oficina Geral;;Oficina Diversos;4213;4213 - CHAVE DE BOCA 30 X 32;Apenas Solicitação;1;1;;21/06/2025;;;;;Aguardando OC;408679;;0;221;Almoxarifados - Estoque geral;51,45;;;;;Pendente;;Entrega pendente;1;1;0;1;;junho
Estoque;;Estoque;4252;4252 - PNEU 20.5-25;Tem OC;1;1;;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408204;;170463;221;Almoxarifados - Estoque geral;R$ 10.953,31;3532;HC PNEUS SA         ;João Pessoa;PB;Pendente;;Entrega pendente;1;1;0,076923077;0;;junho
